시도,합계,월,시군구
인천광역시,20836140,201806,인천광역시
경기도,178880,201806,가평
경기도,7185582,201806,고양
경기도,566125,201806,과천
경기도,2854067,201806,광명
경기도,1735185,201806,광주
경기도,1408478,201806,구리
경기도,2399596,201806,군포
경기도,1788918,201806,김포
경기도,3702959,201806,남양주
경기도,518615,201806,동두천
경기도,7017388,201806,부천
경기도,8819412,201806,성남
경기도,7945330,201806,수원
경기도,2046992,201806,시흥
경기도,3833668,201806,안산
경기도,461022,201806,안성
경기도,5274578,201806,안양
경기도,1160155,201806,양주
경기도,282502,201806,양평
경기도,211960,201806,여주
경기도,86120,201806,연천
경기도,1010111,201806,오산
경기도,5499257,201806,용인
경기도,970122,201806,의왕
경기도,3284006,201806,의정부
경기도,458796,201806,이천
경기도,1983396,201806,파주
경기도,1725005,201806,평택
경기도,452684,201806,포천
경기도,1256956,201806,하남
경기도,2571380,201806,화성
강원특별자치도,449869,201806,강릉
강원특별자치도,37490,201806,고성
강원특별자치도,131934,201806,동해
강원특별자치도,27260,201806,삼척
강원특별자치도,160865,201806,속초
강원특별자치도,11030,201806,양구
강원특별자치도,29907,201806,양양
강원특별자치도,10588,201806,영월
강원특별자치도,840007,201806,원주
강원특별자치도,12926,201806,인제
강원특별자치도,16007,201806,정선
강원특별자치도,25703,201806,철원
강원특별자치도,698321,201806,춘천
강원특별자치도,45635,201806,태백
강원특별자치도,12316,201806,평창
강원특별자치도,39711,201806,홍천
강원특별자치도,13876,201806,화천
강원특별자치도,33879,201806,횡성
충청북도,31152,201806,괴산
충청북도,30148,201806,단양
충청북도,37141,201806,보은
충청북도,54363,201806,옥천
충청북도,2536,201806,음성
충청북도,201495,201806,제천
충청북도,101816,201806,증평
충청북도,92951,201806,진천
충청북도,2462239,201806,청주
충청북도,14800,201806,충주
충청남도,70517,201806,계룡
충청남도,173939,201806,공주
충청남도,51764,201806,금산
충청남도,151244,201806,논산
충청남도,225663,201806,당진
충청남도,142011,201806,보령
충청남도,66748,201806,부여
충청남도,206350,201806,서산
충청남도,39088,201806,서천
충청남도,713449,201806,아산
충청남도,92954,201806,예산
충청남도,2452209,201806,천안
충청남도,16887,201806,청양
충청남도,46355,201806,태안
충청남도,83044,201806,홍성
전라북도,41,201806,고창
전라북도,343656,201806,군산
전라북도,59119,201806,김제
전라북도,59863,201806,남원
전라북도,525,201806,무주
전라북도,25559,201806,부안
전라북도,22207,201806,순창
전라북도,170338,201806,완주
전라북도,534808,201806,익산
전라북도,14353,201806,임실
전라북도,150,201806,장수
전라북도,1698366,201806,전주
전라북도,93690,201806,정읍
전라북도,36871,201806,진안
전라남도,2307,201806,강진
전라남도,19309,201806,고흥
전라남도,3765,201806,곡성
전라남도,149199,201806,광양
전라남도,7600,201806,구례
